person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
1,D,,A,A,A,D,A,,D,A,A,D,A,A,A,A
5,D,,A,A,A,D,D,A,D,A,A,A,D,F,A,A
8,,D,F,A,A,D,D,D,A,D,,D,D,D,A,A
10,,A,A,A,,A,A,D,A,A,A,A,A,A,A,F
11,,A,,A,F,,D,D,D,D,A,F,A,,D,D
12,F,D,D,D,,D,,A,A,D,A,F,,D,A,
13,A,A,,,D,A,A,D,D,D,,A,A,D,A,A
14,A,A,,A,,D,A,,F,,F,F,A,A,A,A
15,A,A,A,D,A,D,A,A,D,A,F,A,A,A,A,D
16,,A,A,D,A,A,A,A,,,A,,A,A,A,A
17,D,A,A,A,,A,A,D,D,D,D,A,,A,A,
18,A,D,A,,,A,A,A,,A,A,D,A,A,A,A
19,A,D,D,D,D,A,D,C,D,F,,,A,A,D,A
21,,A,F,A,D,F,D,A,A,A,D,A,D,A,A,A
24,A,A,,A,A,C,A,A,A,A,A,D,A,A,D,A
25,A,A,A,A,D,A,F,D,,A,A,D,A,A,,D
26,C,,A,,D,,A,A,C,D,F,A,D,D,D,A
27,,A,F,,,F,,A,D,A,D,A,A,A,F,A
28,A,A,A,,A,A,,D,A,,A,F,,A,D,A
29,F,A,D,,A,F,A,A,F,D,D,A,D,A,A,A
30,A,D,F,D,A,A,A,D,A,A,D,A,A,A,,A
31,D,A,,,A,A,C,A,D,D,D,F,A,A,,A
32,A,A,A,A,,A,A,A,A,D,D,A,A,A,D,A
33,A,C,A,A,D,C,F,,A,A,D,A,A,,,
38,,,,D,A,A,A,D,A,,A,A,D,A,,F
40,,A,D,A,A,D,A,A,,D,A,D,A,A,A,D
42,F,A,A,,D,D,D,D,F,A,,A,A,D,D,D
47,A,D,A,A,A,A,D,A,A,,A,,D,A,D,A
48,D,D,A,F,,A,A,A,A,A,D,A,A,A,A,A
51,A,F,A,A,A,A,A,D,A,D,D,A,D,D,D,F
52,A,D,,D,A,,A,D,A,,D,D,D,,A,D
53,A,D,,A,,D,,D,,A,A,,A,F,F,D
54,D,A,A,A,A,A,A,F,A,A,A,A,D,C,D,A
57,A,D,,,A,F,,,A,A,,A,,,,D
58,A,A,A,,D,A,D,D,D,,D,,A,D,D,
59,A,D,A,A,F,A,A,,,A,D,A,A,D,A,D
63,A,D,,D,A,,A,D,D,D,A,A,D,,D,A
64,D,A,A,D,F,D,A,A,D,D,C,D,D,D,,
66,A,A,A,,A,A,A,A,A,A,A,A,,A,D,D
67,D,A,A,,A,F,A,A,A,A,,F,A,A,,A
69,A,A,A,,A,D,,A,,,A,D,A,A,A,D
70,A,D,A,A,,D,A,A,D,A,A,A,A,,D,A
71,A,A,A,F,F,A,D,A,,A,D,A,A,A,D,A
74,,,A,,A,A,A,D,A,D,A,A,D,D,,A
77,D,,A,A,D,D,D,A,D,A,,,A,C,D,A
79,D,A,,C,,D,D,,,A,F,F,A,A,A,A
84,,A,A,,,,A,A,F,A,A,,A,,A,
85,,D,D,,A,D,A,D,A,A,A,,D,A,A,A
87,,,A,A,A,A,,,A,A,A,A,D,A,D,A
88,D,F,,A,A,F,,,D,,D,A,,A,,D
89,A,A,D,D,,F,D,F,,,F,A,A,,,A
90,D,A,A,C,A,,A,D,A,A,A,A,,A,,
91,D,,A,D,A,D,A,D,A,,A,,A,A,A,A
92,D,D,F,A,D,A,A,D,,D,,A,D,,D,D
93,D,A,A,,A,,A,A,A,D,,A,D,,A,F
95,A,D,A,A,A,D,D,A,D,A,D,A,A,,A,A
96,,D,,A,D,,A,,,D,D,A,A,,,A
98,A,A,,A,,D,A,A,D,A,A,A,D,,D,A
100,A,,A,,D,A,,D,A,A,A,,A,A,A,D
103,,A,D,C,A,A,A,,,D,,,D,D,D,A
104,A,,A,D,A,A,,A,A,A,F,,A,,A,F
107,A,A,A,A,,A,D,A,F,D,A,D,,A,D,
109,D,A,,A,A,F,A,,A,D,A,,D,D,F,A
113,D,A,D,A,F,A,A,,,,A,D,,A,A,A
115,D,,A,A,A,A,D,D,A,A,,,D,,A,A
116,F,D,A,A,D,F,A,A,C,,F,,A,A,D,
117,D,A,,D,A,A,F,,A,D,D,D,A,D,D,A
118,A,A,F,F,,F,,A,A,,F,A,,,A,A
119,D,A,F,A,D,,A,A,A,D,C,D,,A,,
120,A,F,D,A,A,A,A,A,A,D,A,A,,D,D,D
121,A,A,A,A,A,A,A,A,,D,A,A,A,D,A,A
125,A,A,F,A,,A,A,D,A,D,D,D,D,A,F,
126,A,A,F,A,D,,F,,,A,D,A,D,A,A,D
127,,D,D,F,,D,A,,,A,A,A,D,A,A,A
129,A,D,A,A,A,C,D,A,D,A,A,D,D,A,A,
133,F,A,A,A,A,A,D,,A,,A,D,A,D,A,
134,F,A,A,F,D,D,A,A,,A,A,A,A,A,A,A
136,A,A,A,D,D,A,D,D,F,A,A,A,A,A,A,D
138,F,A,D,,D,,,A,A,,D,,,D,A,A
139,D,A,,A,,D,A,A,,D,A,D,A,,A,A
141,A,F,C,A,D,,A,D,A,D,A,A,D,D,A,D
142,A,A,A,A,A,A,C,A,A,A,D,D,D,A,A,A
145,A,D,,A,F,D,A,A,A,A,F,A,A,A,A,D
147,F,,A,A,,A,A,A,D,A,D,D,A,A,A,D
151,A,A,,A,,C,A,C,D,A,A,D,F,,A,A
152,D,A,A,,A,A,A,,A,F,D,F,A,,,A
154,A,D,A,,A,,A,A,A,A,D,A,A,,A,
155,D,D,,A,A,A,,,,A,A,A,F,A,A,A
156,D,A,A,F,,,A,D,D,,,D,A,A,C,A
157,,F,A,D,A,D,D,D,A,A,D,A,D,A,A,D
158,A,,A,A,A,D,A,A,A,A,A,A,C,A,F,A
160,A,A,A,A,A,A,D,A,A,A,D,A,F,A,F,A
161,D,A,A,D,D,F,A,,,A,F,,F,A,D,A
163,,D,A,A,D,D,,F,D,,A,D,A,,,F
164,D,A,D,,,D,D,D,A,D,,D,D,F,D,D
165,A,A,,D,A,,A,A,A,A,,D,A,D,,A
166,A,A,,D,A,D,D,D,A,F,D,D,D,D,A,D
168,A,F,D,A,,A,D,,D,,A,A,,A,F,D
173,A,D,C,,A,A,A,A,D,A,A,A,,A,A,D
176,A,D,,F,,A,D,A,F,A,A,D,A,A,D,A
177,A,F,,A,,A,A,D,A,A,C,C,A,A,,A
182,A,D,,A,A,D,F,A,A,D,D,F,A,A,A,A
183,C,A,,A,A,,D,A,,A,,A,D,F,D,A
187,,D,D,A,A,D,D,,,D,D,,A,D,D,D
189,A,,A,A,D,F,D,A,D,D,A,F,A,D,A,A
193,D,A,A,F,A,A,D,D,A,A,D,,D,A,A,D
196,A,A,D,A,A,F,A,A,C,A,,D,F,,D,
197,D,A,,A,,D,C,,D,A,,A,A,A,D,A
201,D,A,,A,A,A,A,A,A,A,A,D,F,A,A,A
